id,label,gender,age,mask,path
000000,4,1,1,0,../input/data/train/images/000001_female_Asian_45/mask4.jpg
000001,16,1,1,2,../input/data/train/images/000001_female_Asian_45/normal.jpg
000002,10,1,1,1,../input/data/train/images/000001_female_Asian_45/incorrect_mask.jpg
000003,4,1,1,0,../input/data/train/images/000001_female_Asian_45/mask3.jpg
000004,4,1,1,0,../input/data/train/images/000001_female_Asian_45/mask1.jpg
000005,4,1,1,0,../input/data/train/images/000001_female_Asian_45/mask2.jpg
000006,4,1,1,0,../input/data/train/images/000001_female_Asian_45/mask5.jpg
000007,4,1,1,0,../input/data/train/images/000002_female_Asian_52/mask4.jpg
000008,16,1,1,2,../input/data/train/images/000002_female_Asian_52/normal.jpg
000009,10,1,1,1,../input/data/train/images/000002_female_Asian_52/incorrect_mask.jpg
000010,4,1,1,0,../input/data/train/images/000002_female_Asian_52/mask3.jpg
000011,4,1,1,0,../input/data/train/images/000002_female_Asian_52/mask1.jpg
000012,4,1,1,0,../input/data/train/images/000002_female_Asian_52/mask2.jpg
000013,4,1,1,0,../input/data/train/images/000002_female_Asian_52/mask5.jpg
000014,1,0,1,0,../input/data/train/images/000004_male_Asian_54/mask4.jpg
000015,13,0,1,2,../input/data/train/images/000004_male_Asian_54/normal.jpg
000016,7,0,1,1,../input/data/train/images/000004_male_Asian_54/incorrect_mask.jpg
000017,1,0,1,0,../input/data/train/images/000004_male_Asian_54/mask3.jpg
000018,1,0,1,0,../input/data/train/images/000004_male_Asian_54/mask1.jpg
000019,1,0,1,0,../input/data/train/images/000004_male_Asian_54/mask2.jpg
000020,1,0,1,0,../input/data/train/images/000004_male_Asian_54/mask5.jpg
000021,4,1,1,0,../input/data/train/images/000005_female_Asian_58/mask4.jpg
000022,16,1,1,2,../input/data/train/images/000005_female_Asian_58/normal.jpg
000023,10,1,1,1,../input/data/train/images/000005_female_Asian_58/incorrect_mask.jpg
000024,4,1,1,0,../input/data/train/images/000005_female_Asian_58/mask3.jpg
000025,4,1,1,0,../input/data/train/images/000005_female_Asian_58/mask1.jpg
000026,4,1,1,0,../input/data/train/images/000005_female_Asian_58/mask2.jpg
000027,4,1,1,0,../input/data/train/images/000005_female_Asian_58/mask5.jpg
000028,4,1,1,0,../input/data/train/images/000006_female_Asian_59/mask4.jpg
000029,16,1,1,2,../input/data/train/images/000006_female_Asian_59/normal.jpg
000030,10,1,1,1,../input/data/train/images/000006_female_Asian_59/incorrect_mask.jpg
000031,4,1,1,0,../input/data/train/images/000006_female_Asian_59/mask3.jpg
000032,4,1,1,0,../input/data/train/images/000006_female_Asian_59/mask1.jpg
000033,4,1,1,0,../input/data/train/images/000006_female_Asian_59/mask2.jpg
000034,4,1,1,0,../input/data/train/images/000006_female_Asian_59/mask5.jpg
000035,4,1,1,0,../input/data/train/images/000007_female_Asian_58/mask4.jpg
000036,16,1,1,2,../input/data/train/images/000007_female_Asian_58/normal.jpg
000037,10,1,1,1,../input/data/train/images/000007_female_Asian_58/incorrect_mask.jpg
000038,4,1,1,0,../input/data/train/images/000007_female_Asian_58/mask3.jpg
000039,4,1,1,0,../input/data/train/images/000007_female_Asian_58/mask1.jpg
000040,4,1,1,0,../input/data/train/images/000007_female_Asian_58/mask2.jpg
000041,4,1,1,0,../input/data/train/images/000007_female_Asian_58/mask5.jpg
000042,4,1,1,0,../input/data/train/images/000008_female_Asian_58/mask4.jpg
000043,16,1,1,2,../input/data/train/images/000008_female_Asian_58/normal.jpg
000044,10,1,1,1,../input/data/train/images/000008_female_Asian_58/incorrect_mask.jpg
000045,4,1,1,0,../input/data/train/images/000008_female_Asian_58/mask3.jpg
000046,4,1,1,0,../input/data/train/images/000008_female_Asian_58/mask1.jpg
000047,4,1,1,0,../input/data/train/images/000008_female_Asian_58/mask2.jpg
000048,4,1,1,0,../input/data/train/images/000008_female_Asian_58/mask5.jpg
000049,4,1,1,0,../input/data/train/images/000009_female_Asian_56/mask4.jpg
000050,16,1,1,2,../input/data/train/images/000009_female_Asian_56/normal.jpg
000051,10,1,1,1,../input/data/train/images/000009_female_Asian_56/incorrect_mask.jpg
000052,4,1,1,0,../input/data/train/images/000009_female_Asian_56/mask3.jpg
000053,4,1,1,0,../input/data/train/images/000009_female_Asian_56/mask1.jpg
000054,4,1,1,0,../input/data/train/images/000009_female_Asian_56/mask2.jpg
000055,4,1,1,0,../input/data/train/images/000009_female_Asian_56/mask5.jpg
000056,4,1,1,0,../input/data/train/images/000010_female_Asian_58/mask4.jpg
000057,16,1,1,2,../input/data/train/images/000010_female_Asian_58/normal.jpg
000058,10,1,1,1,../input/data/train/images/000010_female_Asian_58/incorrect_mask.jpg
000059,4,1,1,0,../input/data/train/images/000010_female_Asian_58/mask3.jpg
000060,4,1,1,0,../input/data/train/images/000010_female_Asian_58/mask1.jpg
000061,4,1,1,0,../input/data/train/images/000010_female_Asian_58/mask2.jpg
000062,4,1,1,0,../input/data/train/images/000010_female_Asian_58/mask5.jpg
